author_id,year,treat,log_us_federal_amount,log_us_amount,log_all_amount,log_us_federal_grant_count,log_us_grant_count,log_all_grant_count,reference_overlap,word2vec_topic_exploration_30,concept_pivot_new_share_01,topic_change,career_age,log_paper_count,log_cf,log_all_us_collaborators_count,ethnically_chinese,non_ethnically_chinese,high_list_related_field,low_list_related_field,junior_scientist,senior_scientist
10238,2020,0,13.561418,13.561418,13.561418,1.6094379,1.6094379,1.6094379,0.40620393,0.17681006,0.60000002,0.51042777,33,3.2958369,1.004511,4.0430512,0,1,1,0,0,1
10238,2021,0,13.561418,13.561418,13.561418,1.6094379,1.6094379,1.6094379,0.45310119,0.17712805,0.58752167,0.55285603,34,3.4965076,0.80826569,4.3820267,0,1,1,0,0,1
10238,2022,0,13.153367,13.153367,13.153367,1.3862944,1.3862944,1.3862944,0.54348159,0.16986075,0.57388663,0.51343787,35,3.0910425,1.5582613,3.4657359,0,1,1,0,0,1
10238,2023,0,13.153367,13.153367,13.153367,1.3862944,1.3862944,1.3862944,0.50166434,,,0.55022562,36,2.5649493,1.2528368,2.9957323,0,1,1,0,0,1
10239,2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.10648882,0.11903368,0.65909094,0.57122427,5,1.6094379,1.0723466,3.5553482,1,0,0,1,1,0
10239,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.28611743,0.75,,6,0.69314718,0.0,2.8903718,1,0,0,1,1,0
10239,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.086074308,0.19299816,0.79898649,0.69032949,7,2.9957323,1.0802313,4.3694477,1,0,0,1,1,0
10239,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.19725104,0.21686438,0.69999999,0.88594222,8,2.4849067,0.62576896,3.7612002,1,0,0,1,1,0
10239,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.10208986,0.17306377,0.82736844,0.72377765,9,2.4849067,0.73537612,4.3040652,1,0,0,1,1,0
10239,2019,1,0.0,0.0,8.2183151,0.0,0.0,0.69314718,0.11176471,0.11899307,0.6038186,0.45960897,10,2.0794415,0.77920502,3.6109178,1,0,0,1,1,0
